,2015,2016,2017,2018,2019,2022,2023,2024,2025
0,Albany,Arizona,Arizona,Alabama,Abilene Christian,Akron,Alabama,Akron,Akron
1,Arizona,Arkansas Little Rock,Arkansas,Arizona,Arizona St.,Alabama,Arizona,Alabama,Alabama
2,Arkansas,Austin Peay,Baylor,Arizona St.,Auburn,Arizona,Arizona St.,Arizona,Alabama St.
3,BYU,Baylor,Bucknell,Arkansas,Baylor,Arkansas,Arkansas,Auburn,American
4,Baylor,Buffalo,Butler,Auburn,Belmont,Auburn,Auburn,BYU,Arizona
5,Belmont,Butler,Cincinnati,Bucknell,Bradley,Baylor,Baylor,Baylor,Arkansas
6,Boise St.,Cal St. Bakersfield,Creighton,Buffalo,Buffalo,Boise St.,Boise St.,Boise St.,Auburn
7,Buffalo,California,Dayton,Butler,Cincinnati,Bryant,Colgate,Charleston,BYU
8,Butler,Chattanooga,Duke,Cal St. Fullerton,Colgate,Cal St. Fullerton,College of Charleston,Clemson,Baylor
9,Cincinnati,Cincinnati,East Tennessee St.,Cincinnati,Duke,Chattanooga,Connecticut,Colgate,Bryant
10,Coastal Carolina,Colorado,Florida,Clemson,Fairleigh Dickinson,Colgate,Creighton,Colorado,Clemson
11,Davidson,Connecticut,Florida Gulf Coast,College of Charleston,Florida,Colorado,Drake,Colorado St.,Colorado St.
12,Dayton,Dayton,Florida St.,Creighton,Florida St.,Connecticut,Duke,Connecticut,Connecticut
13,Duke,Duke,Gonzaga,Davidson,Gardner Webb,Creighton,Fairleigh Dickinson,Creighton,Creighton
14,Eastern Washington,Fairleigh Dickinson,Iona,Duke,Georgia St.,Davidson,Florida Atlantic,Dayton,Drake
15,Georgetown,Florida Gulf Coast,Iowa St.,Florida,Gonzaga,Delaware,Furman,Drake,Duke
16,Georgia,Fresno St.,Jacksonville St.,Florida St.,Houston,Duke,Gonzaga,Duke,Florida
17,Georgia St.,Gonzaga,Kansas,Georgia St.,Iona,Georgia St.,Grand Canyon,Duquesne,Georgia
18,Gonzaga,Green Bay,Kansas St.,Gonzaga,Iowa,Gonzaga,Houston,Florida,Gonzaga
19,Hampton,Hampton,Kent St.,Houston,Iowa St.,Houston,Howard,Florida Atlantic,Grand Canyon
20,Harvard,Hawaii,Kentucky,Iona,Kansas,Illinois,Illinois,Gonzaga,High Point
21,Indiana,Holy Cross,Louisville,Kansas,Kansas St.,Indiana,Indiana,Grambling St.,Houston
22,Iowa,Indiana,Marquette,Kansas St.,Kentucky,Iowa,Iona,Grand Canyon,Illinois
23,Iowa St.,Iona,Maryland,Kentucky,LSU,Iowa St.,Iowa,Houston,Iowa St.
